🎎影视百晓生,#genre#
微信公众号,https://www.gitlink.org.cn/api/YSBXS/LMYS/raw/MP4/BXS01.mp4?ref=main
影视百晓生,https://www.gitlink.org.cn/api/YSBXS/LMYS/raw/MP4/BXS02.mp4?ref=main
欢迎您关注,https://www.gitlink.org.cn/api/YSBXS/LMYS/raw/MP4/BXS03.mp4?ref=main
💓小生在追剧,#genre#
第01集,https://svip.high22-playback.com/20240718/5034_e24772f0/index.m3u8
第02集,https://svip.high22-playback.com/20240718/5033_47507e62/index.m3u8
第03集,https://svip.high22-playback.com/20240718/5032_1df4650d/index.m3u8
第04集,https://svip.high22-playback.com/20240718/5031_178ed767/index.m3u8
第05集,https://svip.high22-playback.com/20240718/5030_d5f953eb/index.m3u8
第06集,https://svip.high22-playback.com/20240718/5029_38bea684/index.m3u8
第07集,https://svip.high21-playback.com/20240719/37430_dd2cf967/index.m3u8
第08集,https://svip.high21-playback.com/20240719/37429_55e93ab5/index.m3u8
第09集,https://svip.high24-playback.com/20240720/1458_979ff81d/index.m3u8
第10集,https://svip.high24-playback.com/20240720/1457_5dfa1695/index.m3u8
第11集,https://svip.high25-playback.com/20240721/774_6b287603/index.m3u8
第12集,https://svip.high25-playback.com/20240721/773_f230833c/index.m3u8
第13集,https://svip.high25-playback.com/20240722/819_d2105f06/index.m3u8
第14集,https://svip.high25-playback.com/20240722/818_acc3640a/index.m3u8
第15集,https://svip.high24-playback.com/20240723/1578_219ba90f/index.m3u8
第16集,https://svip.high24-playback.com/20240723/1577_5dd1ebff/index.m3u8
第17集,https://svip.high25-playback.com/20240724/926_100611d7/index.m3u8
第18集,https://svip.high25-playback.com/20240724/925_dfa61982/index.m3u8
第19集,https://svip.high24-playback.com/20240725/1721_669db821/index.m3u8
第20集,https://svip.high24-playback.com/20240725/1720_912ee233/index.m3u8
第21集,https://svip.high25-playback.com/20240726/1024_8cff61bc/index.m3u8
第22集,https://svip.high25-playback.com/20240726/1023_c325c29d/index.m3u8
第23集,https://svip.high24-playback.com/20240727/1842_ef30099b/index.m3u8
第24集,https://svip.high24-playback.com/20240727/1841_a5d5c2f8/index.m3u8
📡央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://180.141.28.176:4022/rtp/239.81.0.102:4056?Cf=cfss.cc
CCTV1,http://180.141.28.176:4022/rtp/239.81.0.13:4056?Cf=cfss.cc
CCTV2,http://180.141.28.176:4022/rtp/239.81.0.115:4056?Cf=cfss.cc
CCTV2,http://180.141.28.176:4022/rtp/239.81.0.14:4056?Cf=cfss.cc
CCTV3,http://180.141.28.176:4022/rtp/239.81.0.231:4056?Cf=cfss.cc
CCTV4,http://180.141.28.176:4022/rtp/239.81.0.96:4056?Cf=cfss.cc
CCTV4,http://180.141.28.176:4022/rtp/239.81.0.16:4056?Cf=cfss.cc
CCTV5,http://180.141.28.176:4022/rtp/239.81.0.232:4056?Cf=cfss.cc
CCTV5＋,http://180.141.28.176:4022/rtp/239.81.0.101:4056?Cf=cfss.cc
CCTV6,http://180.141.28.176:4022/rtp/239.81.0.233:4056?Cf=cfss.cc
CCTV7,http://180.141.28.176:4022/rtp/239.81.0.116:4056?Cf=cfss.cc
CCTV8,http://180.141.28.176:4022/rtp/239.81.0.234:4056?Cf=cfss.cc
CCTV9,http://180.141.28.176:4022/rtp/239.81.0.117:4056?Cf=cfss.cc
CCTV10,http://180.141.28.176:4022/rtp/239.81.0.118:4056?Cf=cfss.cc
CCTV11,http://180.141.28.176:4022/rtp/239.81.0.229:4056?Cf=cfss.cc
CCTV12,http://180.141.28.176:4022/rtp/239.81.0.119:4056?Cf=cfss.cc
